latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,3600,Europe/Berlin,GMT+1

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm),weather_code (wmo code),wind_speed_10m_max (km/h)
2024-01-01,1.90,7.3,3.4,1.90,0.00,53,19.7
2024-01-02,8.50,7.2,2.5,8.10,0.28,73,20.2
2024-01-03,10.80,10.6,7.2,10.80,0.00,63,27.8
2024-01-04,2.80,7.2,-2.2,2.80,0.00,51,33.1
2024-01-05,5.40,0.9,-0.7,1.40,2.80,73,21.3
2024-01-06,1.30,0.9,-1.9,0.00,0.98,71,18.4
2024-01-07,0.50,-0.4,-7.6,0.00,0.35,73,22.6
2024-01-08,0.00,-3.9,-9.2,0.00,0.00,3,21.9
2024-01-09,0.00,-4.1,-10.6,0.00,0.00,0,8.7
2024-01-10,0.00,-1.9,-8.9,0.00,0.00,0,9.3
2024-01-11,0.00,-0.2,-7.2,0.00,0.00,3,17.7
2024-01-12,0.00,0.6,-1.6,0.00,0.00,3,17.4
2024-01-13,2.20,2.2,0.5,2.20,0.00,53,28.9
2024-01-14,4.40,2.8,0.9,3.40,0.70,73,27.1
2024-01-15,1.00,2.2,-4.2,0.30,0.49,73,35.3
2024-01-16,3.10,1.0,-2.8,0.00,2.17,73,22.4
2024-01-17,2.20,-0.2,-4.6,0.00,1.54,73,15.6
2024-01-18,0.20,0.4,-5.2,0.00,0.14,71,13.2
2024-01-19,0.00,1.8,-5.2,0.00,0.00,3,24.5
2024-01-20,0.00,3.0,-2.5,0.00,0.00,3,26.6
2024-01-21,0.00,3.0,-4.8,0.00,0.00,3,28.2
2024-01-22,3.10,8.8,1.0,3.10,0.00,55,33.7
2024-01-23,0.30,7.5,2.5,0.30,0.00,51,30.7
2024-01-24,5.70,10.4,4.8,5.70,0.00,61,42.2
2024-01-25,0.20,8.3,5.0,0.20,0.00,51,35.7
2024-01-26,3.50,9.1,2.1,3.50,0.00,61,34.1
2024-01-27,0.00,6.7,1.3,0.00,0.00,3,28.7
2024-01-28,0.00,6.3,-2.3,0.00,0.00,3,14.0
2024-01-29,0.00,8.2,-0.2,0.00,0.00,3,15.0
2024-01-30,0.10,8.2,0.8,0.10,0.00,51,15.1
2024-01-31,0.00,7.6,1.5,0.00,0.00,3,21.8
2024-02-01,2.10,7.8,2.3,2.10,0.00,53,29.2
2024-02-02,1.20,7.8,3.8,1.20,0.00,51,29.6
2024-02-03,2.80,10.4,7.4,2.80,0.00,51,34.0
2024-02-04,0.70,8.4,5.2,0.70,0.00,51,31.0
2024-02-05,12.20,9.6,6.8,12.20,0.00,61,32.0
2024-02-06,1.50,10.3,8.0,1.50,0.00,51,36.1
2024-02-07,9.00,9.1,-0.3,9.00,0.00,63,34.5
2024-02-08,2.80,4.8,-2.5,2.70,0.07,71,14.2
2024-02-09,14.10,7.9,0.9,12.70,0.98,73,23.4
2024-02-10,5.50,12.4,6.4,5.50,0.00,61,15.3
2024-02-11,5.30,10.1,6.0,5.30,0.00,53,17.9
2024-02-12,5.70,8.8,4.3,5.70,0.00,53,21.8
2024-02-13,0.10,8.2,2.4,0.10,0.00,51,20.2
2024-02-14,4.70,9.4,1.8,4.70,0.00,63,20.5
2024-02-15,0.20,13.2,8.4,0.20,0.00,51,14.8
2024-02-16,2.00,15.6,7.9,2.00,0.00,55,18.9
2024-02-17,2.00,11.6,5.3,2.00,0.00,55,23.8
2024-02-18,0.90,9.4,0.6,0.90,0.00,53,19.6
2024-02-19,6.00,8.6,6.7,6.00,0.00,55,29.4
2024-02-20,1.10,8.6,6.3,1.10,0.00,51,26.1
2024-02-21,2.00,10.6,6.3,2.00,0.00,53,26.6
2024-02-22,5.30,11.4,8.1,5.30,0.00,53,28.3
2024-02-23,0.00,11.1,2.8,0.00,0.00,3,30.2
2024-02-24,0.00,10.2,0.7,0.00,0.00,3,21.1
2024-02-25,0.00,11.2,0.4,0.00,0.00,3,18.7
2024-02-26,0.00,10.5,-0.6,0.00,0.00,3,17.6
2024-02-27,0.00,6.9,2.8,0.00,0.00,3,20.0
2024-02-28,0.00,5.3,-0.3,0.00,0.00,3,11.6
2024-02-29,0.00,9.3,-1.5,0.00,0.00,3,18.7
2024-03-01,0.00,12.1,3.3,0.00,0.00,3,11.9
2024-03-02,0.70,11.1,6.1,0.70,0.00,51,12.3
2024-03-03,0.00,13.3,6.2,0.00,0.00,3,18.7
2024-03-04,0.10,12.4,6.1,0.10,0.00,51,18.5
2024-03-05,0.20,7.1,-0.2,0.20,0.00,51,16.6
2024-03-06,0.20,7.1,-1.2,0.20,0.00,51,14.5
2024-03-07,0.30,7.6,0.3,0.30,0.00,51,18.7
2024-03-08,0.00,7.6,-1.7,0.00,0.00,0,19.4
2024-03-09,0.80,9.3,-0.2,0.80,0.00,51,26.2
2024-03-10,0.00,11.9,3.1,0.00,0.00,3,29.6
2024-03-11,0.00,13.6,5.1,0.00,0.00,3,22.7
2024-03-12,0.00,13.4,3.6,0.00,0.00,3,13.4
2024-03-13,0.00,13.4,2.0,0.00,0.00,3,15.6
