latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.931458,6.910714,62.0,3600,Europe/Berlin,GMT+1

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm),weather_code (wmo code),wind_speed_10m_max (km/h)
2024-01-01,1.10,8.6,6.6,1.10,0.00,51,24.7
2024-01-02,22.60,11.5,6.9,22.60,0.00,63,37.1
2024-01-03,7.10,11.1,8.0,7.10,0.00,63,33.6
2024-01-04,7.50,8.4,4.7,7.50,0.00,61,26.7
2024-01-05,3.30,8.8,5.9,3.30,0.00,61,22.3
2024-01-06,2.90,6.7,2.0,2.90,0.00,53,15.4
2024-01-07,1.70,2.3,-2.0,0.70,0.70,73,20.8
2024-01-08,0.00,-0.8,-4.6,0.00,0.00,3,19.6
2024-01-09,0.00,1.0,-6.2,0.00,0.00,0,11.8
2024-01-10,0.00,1.0,-5.8,0.00,0.00,3,10.7
2024-01-11,0.00,1.0,-6.6,0.00,0.00,3,12.4
2024-01-12,0.20,1.1,-1.6,0.20,0.00,51,9.2
2024-01-13,0.00,3.3,0.3,0.00,0.00,3,20.8
2024-01-14,0.20,2.0,-0.2,0.10,0.07,71,26.5
2024-01-15,3.80,2.6,-0.7,0.00,2.66,75,28.0
2024-01-16,0.50,1.1,-3.8,0.00,0.35,71,21.7
2024-01-17,10.30,0.6,-4.3,0.00,7.21,75,14.6
2024-01-18,2.30,-1.5,-3.7,0.00,1.61,73,13.8
2024-01-19,0.00,0.2,-7.6,0.00,0.00,3,11.3
2024-01-20,0.00,-1.1,-9.6,0.00,0.00,3,16.1
2024-01-21,0.00,5.6,-3.7,0.00,0.00,3,24.8
2024-01-22,4.30,11.4,5.9,4.30,0.00,61,33.6
2024-01-23,3.90,10.9,4.1,3.90,0.00,61,30.5
2024-01-24,0.60,13.1,7.1,0.60,0.00,51,43.7
2024-01-25,0.70,9.3,3.3,0.70,0.00,51,19.5
2024-01-26,2.60,11.4,2.6,2.60,0.00,55,32.4
2024-01-27,0.00,7.7,-1.6,0.00,0.00,3,13.5
2024-01-28,0.00,9.6,0.2,0.00,0.00,3,20.4
2024-01-29,0.00,13.4,4.7,0.00,0.00,3,19.1
2024-01-30,0.00,12.8,6.0,0.00,0.00,3,19.9
2024-01-31,0.00,8.1,2.2,0.00,0.00,3,13.7
2024-02-01,3.20,8.6,2.1,3.20,0.00,61,24.0
2024-02-02,0.00,8.6,2.5,0.00,0.00,3,22.2
2024-02-03,1.10,10.4,7.8,1.10,0.00,51,22.2
2024-02-04,4.80,10.8,9.4,4.80,0.00,61,29.3
2024-02-05,0.10,11.1,7.4,0.10,0.00,51,32.3
2024-02-06,0.30,10.6,8.1,0.30,0.00,51,31.9
2024-02-07,17.20,10.6,2.8,16.90,0.21,73,31.8
2024-02-08,7.70,11.4,2.5,7.40,0.21,73,23.7
2024-02-09,8.30,13.8,9.5,8.30,0.00,63,22.7
2024-02-10,3.40,12.6,7.4,3.40,0.00,61,15.3
2024-02-11,1.20,11.1,4.7,1.20,0.00,51,15.0
2024-02-12,1.10,9.1,3.0,1.10,0.00,53,18.9
2024-02-13,0.00,9.9,1.8,0.00,0.00,3,17.9
2024-02-14,6.00,13.3,8.0,6.00,0.00,61,19.9
2024-02-15,0.00,16.5,9.6,0.00,0.00,3,20.0
2024-02-16,4.80,16.1,9.8,4.80,0.00,63,18.1
2024-02-17,0.80,11.9,4.9,0.80,0.00,51,15.3
2024-02-18,4.80,10.4,5.4,4.80,0.00,61,29.0
2024-02-19,1.50,12.2,7.4,1.50,0.00,51,24.7
2024-02-20,0.00,11.4,4.2,0.00,0.00,3,21.2
2024-02-21,7.80,10.9,7.6,7.80,0.00,61,24.6
2024-02-22,13.40,12.9,7.5,13.40,0.00,61,36.9
2024-02-23,1.90,9.4,3.8,1.90,0.00,53,38.0
2024-02-24,5.10,8.2,3.2,4.10,0.70,73,21.4
2024-02-25,2.40,10.1,4.1,2.40,0.00,53,21.9
2024-02-26,10.90,7.8,5.4,10.90,0.00,61,17.7
2024-02-27,0.50,9.1,0.9,0.50,0.00,51,14.8
2024-02-28,0.00,8.8,0.0,0.00,0.00,3,9.6
2024-02-29,0.00,11.6,2.2,0.00,0.00,3,19.5
2024-03-01,0.00,11.1,5.8,0.00,0.00,3,23.6
2024-03-02,0.60,13.7,7.4,0.60,0.00,53,22.5
2024-03-03,0.20,16.7,6.7,0.20,0.00,51,20.8
2024-03-04,0.00,10.1,6.8,0.00,0.00,3,17.6
2024-03-05,3.90,9.1,3.9,3.90,0.00,53,6.4
2024-03-06,0.00,10.9,2.0,0.00,0.00,3,9.9
2024-03-07,0.00,9.1,1.5,0.00,0.00,3,19.5
2024-03-08,0.00,10.3,1.0,0.00,0.00,0,22.2
2024-03-09,0.00,14.6,4.2,0.00,0.00,3,18.6
2024-03-10,0.00,15.2,7.6,0.00,0.00,3,17.3
2024-03-11,29.50,8.8,6.9,29.50,0.00,61,17.7
2024-03-12,4.20,10.3,6.9,4.20,0.00,55,16.5
2024-03-13,6.00,13.3,7.2,6.00,0.00,61,16.9
2024-03-14,0.00,16.9,6.5,0.00,0.00,3,14.5
2024-03-15,5.80,16.7,9.3,5.80,0.00,63,23.5
2024-03-16,4.30,10.4,4.8,4.30,0.00,55,20.5
2024-03-17,0.00,15.0,3.3,0.00,0.00,3,15.1
2024-03-18,2.90,14.8,6.9,2.90,0.00,61,15.3
2024-03-19,0.00,16.5,5.1,0.00,0.00,3,9.0
2024-03-20,0.00,18.5,6.8,0.00,0.00,3,9.2
2024-03-21,0.30,12.9,6.4,0.30,0.00,51,16.6
2024-03-22,1.20,13.6,8.6,1.20,0.00,53,16.5
2024-03-23,7.90,9.2,3.9,7.70,0.14,71,28.8
2024-03-24,5.00,9.0,3.6,2.40,1.82,75,33.8
2024-03-25,0.00,11.8,3.6,0.00,0.00,3,18.1
2024-03-26,0.00,14.5,4.6,0.00,0.00,3,20.1
2024-03-27,1.20,10.3,7.0,1.20,0.00,51,14.8
