latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.08787,8.653846,105.0,3600,Europe/Berlin,GMT+1

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm),weather_code (wmo code),wind_speed_10m_max (km/h)
2024-01-01,0.60,7.8,5.8,0.60,0.00,51,30.5
2024-01-02,20.50,9.8,6.2,20.50,0.00,61,33.4
2024-01-03,9.60,11.0,7.7,9.60,0.00,61,31.5
2024-01-04,1.10,8.8,3.7,1.10,0.00,51,27.4
2024-01-05,0.10,9.4,2.7,0.10,0.00,51,20.1
2024-01-06,0.60,7.1,2.1,0.60,0.00,51,11.6
2024-01-07,0.10,4.4,-1.9,0.10,0.00,51,23.1
2024-01-08,0.00,-0.8,-5.7,0.00,0.00,3,22.2
2024-01-09,0.00,0.6,-6.2,0.00,0.00,0,18.9
2024-01-10,0.00,0.2,-5.7,0.00,0.00,3,14.4
2024-01-11,0.00,2.2,-6.0,0.00,0.00,3,13.8
2024-01-12,0.00,0.9,-1.1,0.00,0.00,3,13.0
2024-01-13,0.00,2.2,-1.5,0.00,0.00,3,18.0
2024-01-14,0.00,0.4,-2.3,0.00,0.00,3,19.6
2024-01-15,2.10,3.0,-1.7,0.00,1.47,73,26.5
2024-01-16,0.00,1.6,-5.4,0.00,0.00,3,15.1
2024-01-17,16.90,0.2,-6.1,12.70,2.94,75,7.6
2024-01-18,6.10,1.3,-5.0,0.60,3.85,73,19.5
2024-01-19,0.00,1.2,-7.7,0.00,0.00,3,12.0
2024-01-20,0.00,-1.8,-7.4,0.00,0.00,3,11.0
2024-01-21,0.00,3.8,-7.8,0.00,0.00,3,22.1
2024-01-22,6.00,7.7,3.3,6.00,0.00,61,32.2
2024-01-23,3.90,7.8,4.2,3.90,0.00,53,26.5
2024-01-24,2.00,12.4,5.5,2.00,0.00,55,32.3
2024-01-25,0.60,9.4,3.3,0.60,0.00,51,16.0
2024-01-26,2.50,11.6,2.8,2.50,0.00,53,25.9
2024-01-27,0.00,6.4,-2.0,0.00,0.00,3,9.7
2024-01-28,0.00,7.8,-1.8,0.00,0.00,3,12.0
2024-01-29,0.00,7.4,-2.3,0.00,0.00,3,9.3
2024-01-30,0.20,6.3,-1.6,0.20,0.00,51,11.0
2024-01-31,0.10,8.0,1.5,0.10,0.00,51,13.2
2024-02-01,2.70,9.9,-1.1,2.70,0.00,55,16.4
2024-02-02,0.00,9.1,-0.2,0.00,0.00,3,21.9
2024-02-03,0.10,10.2,6.6,0.10,0.00,51,22.2
2024-02-04,1.20,10.1,8.5,1.20,0.00,51,26.6
2024-02-05,0.00,11.2,6.2,0.00,0.00,3,29.3
2024-02-06,0.40,8.8,6.3,0.40,0.00,51,27.3
2024-02-07,19.20,9.5,3.7,19.20,0.00,61,31.6
2024-02-08,11.20,10.9,3.7,11.20,0.00,61,22.5
2024-02-09,5.50,13.4,9.4,5.50,0.00,53,21.3
2024-02-10,2.70,13.3,7.2,2.70,0.00,55,14.3
2024-02-11,3.10,10.4,5.3,3.10,0.00,53,20.8
2024-02-12,1.30,10.1,2.2,1.30,0.00,51,14.0
2024-02-13,0.00,9.1,0.1,0.00,0.00,3,18.5
2024-02-14,2.80,10.8,4.8,2.80,0.00,53,20.9
2024-02-15,0.20,14.2,7.2,0.20,0.00,51,14.0
2024-02-16,2.40,15.9,6.8,2.40,0.00,53,18.1
2024-02-17,0.20,13.9,6.0,0.20,0.00,51,9.1
2024-02-18,3.20,10.2,4.2,3.20,0.00,61,21.1
2024-02-19,1.00,12.1,6.5,1.00,0.00,53,17.9
2024-02-20,0.10,10.7,4.6,0.10,0.00,51,16.2
2024-02-21,2.00,10.4,5.3,2.00,0.00,55,22.7
2024-02-22,17.20,10.9,8.1,17.20,0.00,61,35.5
2024-02-23,0.50,8.9,2.5,0.50,0.00,51,28.5
2024-02-24,1.20,7.8,0.3,1.20,0.00,51,23.7
2024-02-25,0.30,9.3,0.1,0.30,0.00,51,18.7
2024-02-26,4.00,8.8,4.9,4.00,0.00,53,15.6
2024-02-27,0.00,11.3,3.8,0.00,0.00,3,20.0
2024-02-28,0.00,9.1,-0.9,0.00,0.00,3,11.6
2024-02-29,0.00,10.4,-0.7,0.00,0.00,3,7.6
2024-03-01,0.00,10.5,-0.9,0.00,0.00,3,17.7
2024-03-02,0.00,14.1,3.2,0.00,0.00,3,12.2
2024-03-03,0.00,15.7,3.6,0.00,0.00,3,12.2
2024-03-04,0.20,11.1,3.7,0.20,0.00,51,9.8
2024-03-05,1.50,9.1,3.5,1.50,0.00,51,12.4
2024-03-06,0.10,10.7,1.9,0.10,0.00,51,15.0
2024-03-07,0.20,8.9,0.4,0.20,0.00,51,16.1
2024-03-08,0.00,10.9,0.3,0.00,0.00,2,18.7
2024-03-09,0.00,13.3,1.5,0.00,0.00,3,12.0
2024-03-10,1.40,14.2,4.8,1.40,0.00,61,15.3
2024-03-11,13.00,12.1,5.1,13.00,0.00,63,20.8
2024-03-12,2.90,10.7,4.2,2.90,0.00,53,14.2
2024-03-13,2.30,11.1,5.8,2.30,0.00,55,9.9
2024-03-14,0.00,15.6,7.2,0.00,0.00,3,12.5
2024-03-15,0.60,15.0,7.9,0.60,0.00,51,23.7
2024-03-16,3.10,13.1,2.3,3.10,0.00,55,20.3
2024-03-17,0.00,13.4,2.0,0.00,0.00,3,9.2
2024-03-18,0.60,14.3,4.8,0.60,0.00,51,8.9
2024-03-19,0.00,14.2,4.1,0.00,0.00,3,7.9
2024-03-20,0.00,17.4,4.2,0.00,0.00,3,9.2
2024-03-21,0.00,15.1,4.7,0.00,0.00,3,19.1
2024-03-22,0.00,17.0,5.4,0.00,0.00,3,18.1
2024-03-23,4.80,10.6,2.8,4.80,0.00,55,21.8
2024-03-24,3.50,9.6,2.2,2.40,0.77,73,26.1
2024-03-25,0.00,10.8,3.1,0.00,0.00,3,13.9
2024-03-26,0.00,13.4,2.0,0.00,0.00,3,10.2
2024-03-27,5.80,14.4,3.4,5.80,0.00,61,17.3
2024-03-28,1.10,11.8,3.5,1.10,0.00,53,30.9
2024-03-29,6.00,11.9,3.3,6.00,0.00,61,12.8
