latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.532513,9.980879,13.0,3600,Europe/Berlin,GMT+1

time,precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),snowfall_sum (cm),weather_code (wmo code),wind_speed_10m_max (km/h)
2024-01-01,3.20,7.4,4.3,3.20,0.00,53,22.1
2024-01-02,24.00,8.1,3.5,24.00,0.00,63,23.5
2024-01-03,8.20,9.6,7.2,8.20,0.00,61,33.1
2024-01-04,0.80,6.4,0.2,0.30,0.35,71,25.9
2024-01-05,9.00,1.2,0.1,0.40,6.02,75,23.6
2024-01-06,11.50,0.6,-1.5,0.40,7.77,73,20.5
2024-01-07,0.10,-1.0,-3.8,0.00,0.07,71,17.3
2024-01-08,0.80,-0.9,-5.1,0.00,0.56,71,20.9
2024-01-09,0.00,-4.4,-9.5,0.00,0.00,3,11.1
2024-01-10,0.00,-4.5,-7.4,0.00,0.00,3,6.8
2024-01-11,0.00,2.2,-5.8,0.00,0.00,3,10.8
2024-01-12,0.00,3.0,-6.5,0.00,0.00,3,16.6
2024-01-13,4.50,3.5,2.0,4.40,0.07,71,26.1
2024-01-14,4.00,3.6,1.1,3.00,0.70,73,25.7
2024-01-15,6.10,1.7,-3.0,0.70,3.78,75,27.7
2024-01-16,1.60,1.0,-5.8,0.00,1.12,73,20.5
2024-01-17,0.00,-0.9,-4.2,0.00,0.00,3,20.7
2024-01-18,0.00,1.6,-6.3,0.00,0.00,3,16.6
2024-01-19,0.20,2.2,-2.5,0.00,0.14,71,30.4
2024-01-20,0.00,3.0,-1.1,0.00,0.00,3,27.9
2024-01-21,0.40,5.1,-0.9,0.10,0.21,73,28.6
2024-01-22,6.50,9.3,5.2,6.50,0.00,61,38.5
2024-01-23,3.80,7.8,3.9,3.60,0.14,71,31.8
2024-01-24,9.90,11.6,6.7,9.90,0.00,61,41.7
2024-01-25,0.00,8.2,2.8,0.00,0.00,3,31.8
2024-01-26,6.10,9.8,4.8,6.10,0.00,63,37.9
2024-01-27,0.00,7.3,2.2,0.00,0.00,3,22.9
2024-01-28,0.00,7.2,-0.6,0.00,0.00,3,14.5
2024-01-29,0.00,9.4,2.7,0.00,0.00,3,13.8
2024-01-30,0.20,10.1,3.7,0.20,0.00,51,24.1
2024-01-31,0.20,7.1,4.7,0.20,0.00,51,28.4
2024-02-01,2.70,8.1,4.4,2.70,0.00,55,30.4
2024-02-02,0.90,8.9,4.0,0.90,0.00,51,27.4
2024-02-03,0.90,10.9,5.6,0.90,0.00,51,31.4
2024-02-04,5.70,8.4,5.2,5.70,0.00,55,35.7
2024-02-05,7.10,9.1,8.2,7.10,0.00,55,32.4
2024-02-06,11.60,10.5,6.1,11.60,0.00,61,33.5
2024-02-07,0.40,6.0,-0.1,0.40,0.00,51,24.2
2024-02-08,2.70,4.2,-0.2,2.00,0.49,73,16.0
2024-02-09,25.00,4.7,1.1,21.20,2.66,75,25.1
2024-02-10,3.50,10.4,4.2,3.50,0.00,61,16.1
2024-02-11,3.60,6.8,5.1,3.60,0.00,53,18.6
2024-02-12,2.70,8.1,3.8,2.70,0.00,51,19.1
2024-02-13,1.00,7.3,2.4,1.00,0.00,53,22.0
2024-02-14,11.50,11.3,4.9,11.50,0.00,61,18.9
2024-02-15,2.40,12.6,10.2,2.40,0.00,51,14.9
2024-02-16,2.50,15.4,9.4,2.50,0.00,55,23.5
2024-02-17,0.40,9.6,0.9,0.40,0.00,51,22.5
2024-02-18,12.90,8.6,1.6,12.90,0.00,61,18.5
2024-02-19,3.60,9.6,6.2,3.60,0.00,53,25.8
2024-02-20,0.40,9.7,6.4,0.40,0.00,51,23.0
2024-02-21,2.60,9.9,7.9,2.60,0.00,53,23.3
2024-02-22,4.80,12.3,7.3,4.80,0.00,53,33.0
2024-02-23,0.50,9.6,3.8,0.50,0.00,51,34.5
2024-02-24,3.80,9.1,2.1,2.70,0.77,73,17.9
2024-02-25,1.00,7.7,0.0,1.00,0.00,51,21.4
2024-02-26,0.00,7.7,-1.5,0.00,0.00,3,15.1
2024-02-27,0.00,7.1,0.6,0.00,0.00,3,12.6
2024-02-28,0.00,7.8,-0.5,0.00,0.00,3,13.3
2024-02-29,0.00,12.0,2.5,0.00,0.00,3,19.0
2024-03-01,0.00,12.3,2.2,0.00,0.00,3,16.4
2024-03-02,0.10,13.1,6.2,0.10,0.00,51,13.5
2024-03-03,0.00,13.3,5.5,0.00,0.00,3,19.5
2024-03-04,0.80,13.4,5.4,0.80,0.00,53,17.2
2024-03-05,0.00,8.4,1.9,0.00,0.00,3,21.0
2024-03-06,0.00,7.6,0.6,0.00,0.00,3,13.1
2024-03-07,0.00,7.6,1.6,0.00,0.00,3,16.2
2024-03-08,0.00,7.9,-0.9,0.00,0.00,0,19.8
2024-03-09,0.00,9.8,0.6,0.00,0.00,3,26.6
2024-03-10,0.00,11.8,2.7,0.00,0.00,3,25.2
2024-03-11,0.90,10.6,4.2,0.90,0.00,51,19.8
2024-03-12,0.10,11.1,2.0,0.10,0.00,51,11.8
2024-03-13,0.50,11.6,2.8,0.50,0.00,51,16.6
2024-03-14,0.00,16.2,9.6,0.00,0.00,3,21.0
2024-03-15,2.70,15.1,9.2,2.70,0.00,61,24.8
2024-03-16,1.00,10.1,4.6,1.00,0.00,53,28.5
2024-03-17,0.00,8.8,3.5,0.00,0.00,3,16.2
2024-03-18,0.20,8.6,2.2,0.20,0.00,51,19.2
2024-03-19,0.10,11.4,2.2,0.10,0.00,51,17.0
2024-03-20,3.20,15.2,6.4,3.20,0.00,53,9.8
2024-03-21,2.80,11.2,7.5,2.80,0.00,53,20.9
2024-03-22,1.70,11.2,6.9,1.70,0.00,51,26.8
2024-03-23,6.50,9.0,3.6,4.30,1.54,73,22.6
2024-03-24,5.30,8.2,3.0,4.70,0.42,73,23.2
2024-03-25,0.60,9.4,1.6,0.60,0.00,51,18.7
2024-03-26,0.10,12.4,1.2,0.10,0.00,51,23.7
2024-03-27,0.00,16.7,4.1,0.00,0.00,3,13.9
2024-03-28,6.80,12.7,6.2,6.80,0.00,61,31.1
2024-03-29,4.10,12.2,5.7,4.10,0.00,61,22.6
2024-03-30,0.20,20.1,7.5,0.20,0.00,51,17.6
2024-03-31,3.90,13.8,6.5,3.90,0.00,61,10.0
2024-04-01,15.10,11.9,6.7,15.10,0.00,63,23.8
2024-04-02,3.70,12.4,7.9,3.70,0.00,61,31.7
2024-04-03,5.90,10.1,5.2,5.90,0.00,61,13.9
2024-04-04,7.80,12.2,8.9,7.80,0.00,61,25.6
2024-04-05,4.20,16.3,9.2,4.20,0.00,55,24.3
2024-04-06,0.00,22.0,9.7,0.00,0.00,3,18.5
2024-04-07,1.70,20.4,13.9,1.70,0.00,53,23.8
2024-04-08,5.80,19.8,12.1,5.80,0.00,61,11.1
2024-04-09,3.40,18.1,10.7,3.40,0.00,55,24.8
2024-04-10,0.40,13.6,7.3,0.40,0.00,51,25.8
2024-04-11,2.40,14.4,7.8,2.40,0.00,55,26.0
2024-04-12,0.20,19.3,9.7,0.20,0.00,51,26.4
2024-04-13,0.00,20.4,10.0,0.00,0.00,3,23.3
2024-04-14,0.00,16.2,7.0,0.00,0.00,3,29.4
2024-04-15,7.80,13.1,4.3,7.80,0.00,63,26.7
2024-04-16,2.80,9.4,4.2,2.80,0.00,61,25.0
2024-04-17,1.60,10.9,1.4,1.60,0.00,55,13.2
2024-04-18,1.20,11.2,1.1,1.20,0.00,53,24.2
2024-04-19,7.90,10.2,4.4,7.90,0.00,53,27.2
2024-04-20,2.30,8.6,2.8,2.00,0.21,73,21.4
2024-04-21,0.30,9.3,1.9,0.30,0.00,51,16.4
2024-04-22,1.50,7.3,0.1,1.40,0.07,71,13.2
2024-04-23,1.80,8.8,-1.3,1.80,0.00,51,16.2
2024-04-24,2.00,7.4,2.0,2.00,0.00,53,12.8
2024-04-25,1.50,9.2,0.9,1.50,0.00,53,13.0
2024-04-26,6.10,11.0,3.3,6.10,0.00,55,19.3
2024-04-27,0.00,17.6,3.2,0.00,0.00,3,18.6
2024-04-28,0.10,20.5,9.2,0.10,0.00,51,20.6
2024-04-29,0.00,18.8,6.9,0.00,0.00,3,16.1
2024-04-30,0.00,22.9,10.8,0.00,0.00,3,15.5
2024-05-01,0.00,24.7,11.6,0.00,0.00,3,21.3
2024-05-02,0.00,24.5,14.0,0.00,0.00,3,23.5
2024-05-03,0.60,20.8,13.1,0.60,0.00,51,19.2
2024-05-04,0.00,18.0,10.1,0.00,0.00,3,11.4
2024-05-05,5.60,16.3,9.7,5.60,0.00,61,29.9
2024-05-06,0.00,17.4,7.9,0.00,0.00,3,15.5
2024-05-07,0.00,17.0,8.8,0.00,0.00,3,16.9
2024-05-08,0.00,17.0,6.1,0.00,0.00,3,12.1
2024-05-09,0.10,18.4,6.4,0.10,0.00,51,13.8
2024-05-10,0.00,19.9,9.1,0.00,0.00,3,15.3
2024-05-11,0.00,19.0,9.7,0.00,0.00,3,15.5
2024-05-12,0.00,20.4,9.1,0.00,0.00,3,19.5
2024-05-13,0.00,23.9,11.4,0.00,0.00,3,20.2
2024-05-14,0.00,24.5,12.9,0.00,0.00,1,22.2
2024-05-15,0.00,24.8,14.3,0.00,0.00,0,27.7
2024-05-16,0.00,25.6,15.8,0.00,0.00,3,32.0
2024-05-17,0.00,24.7,16.1,0.00,0.00,3,24.9
2024-05-18,0.20,21.5,12.2,0.20,0.00,51,21.3
2024-05-19,7.70,18.6,11.5,7.70,0.00,63,14.8
2024-05-20,0.70,21.5,11.9,0.70,0.00,51,16.6
2024-05-21,0.40,23.1,12.8,0.40,0.00,51,24.7
2024-05-22,24.10,20.5,15.1,24.10,0.00,63,22.8
2024-05-23,1.00,20.7,13.6,1.00,0.00,53,19.3
2024-05-24,0.40,21.9,10.6,0.40,0.00,51,18.4
2024-05-25,4.20,20.8,13.5,4.20,0.00,61,12.2
2024-05-26,7.90,23.6,13.6,7.90,0.00,63,13.3
2024-05-27,1.40,21.2,14.6,1.40,0.00,55,13.2
2024-05-28,13.50,17.3,12.6,13.50,0.00,63,21.3
2024-05-29,12.10,17.6,12.4,12.10,0.00,61,22.7
2024-05-30,1.80,19.4,11.1,1.80,0.00,53,10.5
2024-05-31,13.90,19.4,13.4,13.90,0.00,63,13.8
2024-06-01,0.60,23.6,13.8,0.60,0.00,53,15.6
2024-06-02,4.60,19.4,13.9,4.60,0.00,61,24.3
2024-06-03,0.40,17.0,11.9,0.40,0.00,51,18.5
2024-06-04,1.10,17.9,13.4,1.10,0.00,51,14.9
2024-06-05,2.40,17.0,10.3,2.40,0.00,53,22.8
2024-06-06,0.10,17.2,8.4,0.10,0.00,51,16.9
2024-06-07,0.60,17.4,7.7,0.60,0.00,51,20.4
2024-06-08,0.40,19.9,10.4,0.40,0.00,51,26.9
